,AgencyName,OrgType,Population,City,State,International,firecares_id,,,,
96,Fort Knox Fire and Emergency Services,DoD,27000,Fort Knox,KY,FALSE,81775,,,,
97,Fort Lauderdale Fire Rescue,Career,177178,Fort Lauderdale,FL,FALSE,81777,,,,
98,Fort McCoy Fire & Emergency Services,DoD,4000,Fort McCoy,WI,FALSE,81788,,,,
99,Gainesville Fire Rescue,Career,127955,Gainesville,FL,FALSE,82192,,,,
100,Gastonia Fire Department,Career,75000,Gastonia,NC,FALSE,82338,,,,
101,Geneva Fire Department,Combination,22000,Geneva,IL,FALSE,82389,,,,
102,Goodfellow Fire Emergency Services,DoD,8824,San Angelo,TX,FALSE,82704,,,,
103,Fishers Fire & Emergency Service,Career,87000,Fishers,IN,FALSE,81508,,,,
104,Grand Rapids Fire Department,Career,195097,Grand Rapids,MI,FALSE,82869,,,,
105,Grissom Air Reserve Base,DoD,8200,Grissom ARB,IN,FALSE,83248,,,,
106,Greensboro Fire Department,Career,285511,Greensboro,NC,FALSE,83153,,,,
107,NAS Sigonella Fire & Emergency Services,DoD,,,Italy,TRUE,,,,,
108,"MCIPAC, Fire & Emergency Services ",DoD,,,Japan,TRUE,,,,,
109,Hartford Fire Department,Career,9952,White River Junction,VT,FALSE,83735,,,,
110,Henrico County Division of Fire,Career,321374,Henrico,VA,FALSE,84001,,,,
111,High Point Fire Department,Career,111967,High Point,NC,FALSE,84134,,,,
112,Highland Park Fire Department,Career,29902,Highland Park,IL,FALSE,84159,,,,
113,Hill AFB Fire Department,DoD,26000,Hill AFB,UT,FALSE,84205,,,,
114,Honolulu Fire Department,Career,998714,Honolulu,HI,FALSE,84453,,,,
115,Houston Fire Department,Career,2296224,Houston,TX,FALSE,84578,,,,
116,Huntley Fire Protection District,Combination,50000,Huntley,IL,FALSE,84736,,,,
117,Iowa City Fire Department,Career,73398,Iowa City,IA,FALSE,84954,,,,
118,Jacksonville Fire & Emergency Services,Career,67784,Jacksonville,NC,FALSE,85756,,,,
119,Kingman Fire Department,Career,30000,Kingman,AZ,FALSE,85756,,,,
120,Kingsport Fire Department,Career,52962,Kingsport,TN,FALSE,85773,,,,
121,La Crosse Fire Department,Career,51800,La Crosse,WI,FALSE,85940,,,,
122,Lawrence-Douglas County Fire Medical Department,Career,118053,Lawrence,KS,FALSE,86474,,,,
123,Joint Base Charleston Fire Emergency Services,DoD,90000,Charleston AFB,SC,FALSE,100245,,,,
124,"Lenexa, Kansas Fire Department",Career,50000,Lenexa,KS,FALSE,77730,,,,
125,Little Rock Fire Department,Career,197706,Little Rock,AR,FALSE,87012,,,,
126,Los Alamos County Fire Department,Career,17798,Los Alamos,NM,FALSE,87254,,,,
127,Louisville Division of Fire,Career,238164,Louisville,KY,FALSE,87291,,,,
128,Loveland Symmes Fire Department,Combination,28000,Loveland,OH,FALSE,87307,,,,
129,MacDill AFB Fire Emergency Services Flight,DoD,19000,MacDill AFB,FL,FALSE,87495,,,,
130,Maitland Fire Rescue Department,Career,16464,Maitland,FL,FALSE,87621,,,,
131,MCAS Beaufort  Fire & Emergency Services,DoD,10000,Beaufort,SC,FALSE,88159,,,,
132,Columbus Fire and Rescue,Career,25102,Columbus,MS,FALSE,78504,,,,
133,MCAS Cherry Point Fire & Emergency Services,DoD,23000,MCAS Cherrry Point,NC,FALSE,77312,,,,
134,Fayetteville Fire/Emergency Management,Career,210468,Fayetteville,NC,FALSE,81362,,,,
135,McConnell AFB Fire Department,DoD,14933,McConnell AFB,KS,FALSE,88180,,,,
136,Mesa Fire and Medical Department,Career,462376,Mesa,AZ,FALSE,88490,,,,
